group_id,representative,n_hits,representative_multiplicity,multiplicities,delta_e_ev,representative_energy_hartree,geometry_types,representative_xyz_file,representative_output_file
39,B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C,7,1,1:7,3.06886387,-148.630568482579,compact_planar_triangle:7,calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C.out
40,B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C,1,5,5:1,3.20540705,-148.625550613103,rectangular_planar:1,calculations/stage1/B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C/B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C/B6_rectangular_planar_d1.60_q0_m5_R2SCAN-3C.out
41,B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C,1,3,3:1,3.37281124,-148.619398622796,trigonal_prism:1,calculations/stage1/B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m3_R2SCAN-3C.out
42,B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C,1,5,5:1,3.38224990,-148.619051758148,rectangular_planar:1,calculations/stage1/B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C/B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C/B6_rectangular_planar_d2.20_q0_m5_R2SCAN-3C.out
43,B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C,1,1,1:1,3.54340925,-148.613129261351,trigonal_prism:1,calculations/stage1/B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m1_R2SCAN-3C.out
44,B6_linear_chain_d1.60_q0_m5_R2SCAN-3C,8,5,3:2;5:6,3.54635517,-148.613021000821,linear_chain:8,calculations/stage1/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C/B6_linear_chain_d1.60_q0_m5_R2SCAN-3C.out
45,B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C,4,3,3:4,3.75652156,-148.605297528324,trigonal_prism:4,calculations/stage1/B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C/B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C/B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C.out
46,B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C,2,5,5:2,3.83475595,-148.602422467795,rectangular_planar:2,calculations/stage1/B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C/B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C/B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C.out
47,B6_trigonal_prism_d2.20_q0_m1_R2SCAN-3C,3,1,1:3,4.05967959,-148.594156676456,trigonal_prism:3,calculations/stage1/B6_trigonal_prism_d2.20_q0_m1_R2SCAN-3C/B6_trigonal_prism_d2.20_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d2.20_q0_m1_R2SCAN-3C/B6_trigonal_prism_d2.20_q0_m1_R2SCAN-3C.out
48,B6_linear_chain_d1.60_q0_m3_R2SCAN-3C,3,3,3:3,4.19813741,-148.589068445333,linear_chain:3,calculations/stage1/B6_linear_chain_d1.60_q0_m3_R2SCAN-3C/B6_linear_chain_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d1.60_q0_m3_R2SCAN-3C/B6_linear_chain_d1.60_q0_m3_R2SCAN-3C.out
49,B6_trigonal_prism_d1.60_q0_m5_R2SCAN-3C,1,5,5:1,4.65383674,-148.572321803974,trigonal_prism:1,calculations/stage1/B6_trigonal_prism_d1.60_q0_m5_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d1.60_q0_m5_R2SCAN-3C/B6_trigonal_prism_d1.60_q0_m5_R2SCAN-3C.out
50,B6_trigonal_prism_d2.00_q0_m5_R2SCAN-3C,3,5,5:3,4.96901762,-148.560739120289,trigonal_prism:3,calculations/stage1/B6_trigonal_prism_d2.00_q0_m5_R2SCAN-3C/B6_trigonal_prism_d2.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d2.00_q0_m5_R2SCAN-3C/B6_trigonal_prism_d2.00_q0_m5_R2SCAN-3C.out
51,B6_linear_chain_d3.00_q0_m1_R2SCAN-3C,1,1,1:1,6.25860710,-148.513347580772,linear_chain:1,calculations/stage1/B6_linear_chain_d3.00_q0_m1_R2SCAN-3C/B6_linear_chain_d3.00_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d3.00_q0_m1_R2SCAN-3C/B6_linear_chain_d3.00_q0_m1_R2SCAN-3C.out
52,B6_linear_chain_d2.50_q0_m1_R2SCAN-3C,4,1,1:4,6.56973428,-148.501913867712,linear_chain:4,calculations/stage1/B6_linear_chain_d2.50_q0_m1_R2SCAN-3C/B6_linear_chain_d2.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d2.50_q0_m1_R2SCAN-3C/B6_linear_chain_d2.50_q0_m1_R2SCAN-3C.out
53,B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C,1,1,1:1,7.16771133,-148.479938616605,octahedral_3d:1,calculations/stage1/B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C.out
54,B6_linear_chain_d1.60_q0_m1_R2SCAN-3C,1,1,1:1,8.28174665,-148.438998573661,linear_chain:1,calculations/stage1/B6_linear_chain_d1.60_q0_m1_R2SCAN-3C/B6_linear_chain_d1.60_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d1.60_q0_m1_R2SCAN-3C/B6_linear_chain_d1.60_q0_m1_R2SCAN-3C.out
