calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_random_3d_seed1004_d1.80_q0_m3_R2SCAN-3C,random_3d_seed1004,1.8,0,3,R2SCAN-3C,,-148.700569351199,1.16404319,True,True,,,,False,calculations/stage1/B6_random_3d_seed1004_d1.80_q0_m3_R2SCAN-3C/B6_random_3d_seed1004_d1.80_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d1.80_q0_m3_R2SCAN-3C/B6_random_3d_seed1004_d1.80_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1004_d1.60_q0_m3_R2SCAN-3C,random_3d_seed1004,1.6,0,3,R2SCAN-3C,,-148.700569143830,1.16404884,True,True,,,,False,calculations/stage1/B6_random_3d_seed1004_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1004_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1004_d1.60_q0_m3_R2SCAN-3C.out
B6_trigonal_prism_d3.50_q0_m3_R2SCAN-3C,trigonal_prism,3.5,0,3,R2SCAN-3C,,-148.700567943490,1.16408150,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d3.50_q0_m3_R2SCAN-3C/B6_trigonal_prism_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d3.50_q0_m3_R2SCAN-3C/B6_trigonal_prism_d3.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1002_d2.00_q0_m3_R2SCAN-3C,random_3d_seed1002,2.0,0,3,R2SCAN-3C,,-148.700565588234,1.16414559,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d2.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d2.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d2.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d2.00_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1002_d1.60_q0_m3_R2SCAN-3C,random_3d_seed1002,1.6,0,3,R2SCAN-3C,,-148.700562889246,1.16421903,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1002_d1.60_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C,random_3d_seed1002,3.5,0,5,R2SCAN-3C,,-148.696374246400,1.27819781,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d3.50_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1000_d3.00_q0_m5_R2SCAN-3C,random_3d_seed1000,3.0,0,5,R2SCAN-3C,,-148.696358788088,1.27861845,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d3.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1000_d3.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d3.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1000_d3.00_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1000_d2.50_q0_m5_R2SCAN-3C,random_3d_seed1000,2.5,0,5,R2SCAN-3C,,-148.696357682434,1.27864854,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d2.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1000_d2.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d2.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1000_d2.50_q0_m5_R2SCAN-3C.out
B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C,octahedral_3d,2.0,0,3,R2SCAN-3C,,-148.696303344346,1.28012715,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C.out
B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C,octahedral_3d,1.6,0,3,R2SCAN-3C,,-148.696303343644,1.28012717,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C/B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C/B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C.out
