calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_octahedral_3d_d3.00_q0_m5_R2SCAN-3C,octahedral_3d,3.0,0,5,R2SCAN-3C,,-148.645469863757,2.66337663,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d3.00_q0_m5_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d3.00_q0_m5_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m5_R2SCAN-3C.out
B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C,octahedral_3d,1.8,0,5,R2SCAN-3C,,-148.645468655753,2.66340950,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1003_d1.80_q0_m5_R2SCAN-3C,random_3d_seed1003,1.8,0,5,R2SCAN-3C,,-148.645458065080,2.66369769,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d1.80_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d1.80_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d1.80_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d1.80_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1003_d1.60_q0_m5_R2SCAN-3C,random_3d_seed1003,1.6,0,5,R2SCAN-3C,,-148.645457554310,2.66371159,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d1.60_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d1.60_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d1.60_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d1.60_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1003_d2.00_q0_m5_R2SCAN-3C,random_3d_seed1003,2.0,0,5,R2SCAN-3C,,-148.645456844957,2.66373089,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d2.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d2.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d2.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d2.00_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1003_d2.20_q0_m5_R2SCAN-3C,random_3d_seed1003,2.2,0,5,R2SCAN-3C,,-148.645456557650,2.66373871,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d2.20_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d2.20_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d2.20_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d2.20_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1003_d2.50_q0_m5_R2SCAN-3C,random_3d_seed1003,2.5,0,5,R2SCAN-3C,,-148.645456303010,2.66374564,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d2.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d2.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d2.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d2.50_q0_m5_R2SCAN-3C.out
B6_planar_ring_d1.60_q0_m5_R2SCAN-3C,planar_ring,1.6,0,5,R2SCAN-3C,,-148.636832854762,2.89840162,True,True,,,,False,calculations/stage1/B6_planar_ring_d1.60_q0_m5_R2SCAN-3C/B6_planar_ring_d1.60_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_planar_ring_d1.60_q0_m5_R2SCAN-3C/B6_planar_ring_d1.60_q0_m5_R2SCAN-3C.out
B6_planar_ring_d3.00_q0_m5_R2SCAN-3C,planar_ring,3.0,0,5,R2SCAN-3C,,-148.634893250021,2.95118095,True,True,,,,False,calculations/stage1/B6_planar_ring_d3.00_q0_m5_R2SCAN-3C/B6_planar_ring_d3.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_planar_ring_d3.00_q0_m5_R2SCAN-3C/B6_planar_ring_d3.00_q0_m5_R2SCAN-3C.out
B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C,octahedral_3d,3.0,0,1,R2SCAN-3C,,-148.633292127542,2.99474971,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C.out
B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C,octahedral_3d,2.5,0,1,R2SCAN-3C,,-148.633292052440,2.99475176,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C.out
