mode_number,orca_index,frequency_cm-1,atom_index,element,x_angstrom,y_angstrom,z_angstrom,dx,dy,dz,amplitude
8,13,820.850000,3,B,0.20485900,-0.76279700,-0.54788700,0.0504860000,0.1782770000,0.2511940000,0.3121377109
8,13,820.850000,4,B,-0.20486100,0.76279800,0.54788500,-0.0504890000,-0.1782830000,-0.2512030000,0.3121488658
8,13,820.850000,5,B,-1.40810400,1.44347500,-0.24014500,0.3135480000,-0.2223920000,0.1579320000,0.4155876160
8,13,820.850000,6,B,-0.96859100,0.20430800,-0.99682200,0.3525990000,-0.1408660000,0.2927190000,0.4794305974
9,14,1091.540000,1,B,0.96858400,-0.20431000,0.99682400,-0.0384550000,-0.1970210000,-0.2559000000,0.3252397139
9,14,1091.540000,2,B,1.40811300,-1.44347300,0.24014500,0.0704590000,0.2324680000,0.3333010000,0.4124262338
9,14,1091.540000,3,B,0.20485900,-0.76279700,-0.54788700,-0.3584360000,0.2098500000,-0.2272790000,0.4734650277
9,14,1091.540000,4,B,-0.20486100,0.76279800,0.54788500,0.3582120000,-0.2097340000,0.2271150000,0.4731653104
9,14,1091.540000,5,B,-1.40810400,1.44347500,-0.24014500,-0.0703350000,-0.2326370000,-0.3333180000,0.4125140908
9,14,1091.540000,6,B,-0.96859100,0.20430800,-0.99682200,0.0385550000,0.1970740000,0.2560800000,0.3254252847
10,15,1104.260000,1,B,0.96858400,-0.20431000,0.99682400,0.1312850000,0.1143280000,0.2848660000,0.3338491887
10,15,1104.260000,2,B,1.40811300,-1.44347300,0.24014500,0.2366390000,-0.3049540000,-0.0254780000,0.3868385799
10,15,1104.260000,3,B,0.20485900,-0.76279700,-0.54788700,-0.3678330000,0.1905570000,-0.2593490000,0.4887483912
10,15,1104.260000,4,B,-0.20486100,0.76279800,0.54788500,-0.3680370000,0.1906800000,-0.2594700000,0.4890140864
10,15,1104.260000,5,B,-1.40810400,1.44347500,-0.24014500,0.2366720000,-0.3048040000,-0.0252760000,0.3867272814
10,15,1104.260000,6,B,-0.96859100,0.20430800,-0.99682200,0.1312750000,0.1141930000,0.2847080000,0.3336642206
11,16,1339.440000,1,B,0.96858400,-0.20431000,0.99682400,0.2966290000,-0.4326770000,-0.0850710000,0.5314463520
11,16,1339.440000,2,B,1.40811300,-1.44347300,0.24014500,-0.0716820000,0.2834360000,0.2091980000,0.3594969797
11,16,1339.440000,3,B,0.20485900,-0.76279700,-0.54788700,-0.2249600000,0.1492510000,-0.1241330000,0.2971394694
11,16,1339.440000,4,B,-0.20486100,0.76279800,0.54788500,-0.2249500000,0.1492440000,-0.1241270000,0.2971258760
11,16,1339.440000,5,B,-1.40810400,1.44347500,-0.24014500,-0.0716860000,0.2834660000,0.2092190000,0.3595336503
11,16,1339.440000,6,B,-0.96859100,0.20430800,-0.99682200,0.2966490000,-0.4327200000,-0.0850860000,0.5314949247
12,17,1407.260000,1,B,0.96858400,-0.20431000,0.99682400,-0.2691260000,0.3926130000,0.0771920000,0.4822161098
12,17,1407.260000,2,B,1.40811300,-1.44347300,0.24014500,0.1878820000,-0.3022700000,-0.0836350000,0.3655976095
12,17,1407.260000,3,B,0.20485900,-0.76279700,-0.54788700,-0.2761550000,0.1942530000,-0.1407730000,0.3658043870
12,17,1407.260000,4,B,-0.20486100,0.76279800,0.54788500,0.2761880000,-0.1942730000,0.1407950000,0.3658483865
12,17,1407.260000,5,B,-1.40810400,1.44347500,-0.24014500,-0.1878840000,0.3022610000,0.0836170000,0.3655870789
12,17,1407.260000,6,B,-0.96859100,0.20430800,-0.99682200,0.2690960000,-0.3925850000,-0.0771970000,0.4821773701
